,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00002547,Яшик для счетчика,шт,
,00-00002548,Штуцер М14х16 (спец тех),шт,
,00-00002549,"Штуцер М16х16,5 (спец тех)",шт,
,00-00002550,Гаечный ключ 36-36,шт,
,00-00002551,Гаечный ключ 41-46,шт,
,00-00002552,Счетчик подачи газа,шт,
,00-00002553,Шпатель 1м,шт,
,00-00002554,Шпатель 50см,шт,
,00-00002555,Счетчик воды UZMETER 15мм,шт,
,00-00002556,Кабина механизм. Эшик механизм,комп,
,00-00002557,"Профнастиль гофрированный из оцинкованной стали тольшина 0,7мм",пм,
,00-00002558,Коронка по металу 50,шт,
,00-00002559,Наждак Зонтик 115мм 25м,м,
,00-00002560,Анкерный болт м10х132,шт,
,00-00002561,Анкерный болт м10х72,шт,
,00-00002562,Мембрана,рулон,
,00-00002563,Отбойник INGCO PDB 17008,шт,
,00-00002564,Перфоратор  INGCO  PDB 15006,шт,
,00-00002565,Термоусадочная трубка 240мм,м,
,00-00002566,Термоусадочная трубка 95мм,м,
,00-00002567,Термоусадочная трубка 70мм,м,
,00-00002568,Щит 700х500мм,шт,
,00-00002569,Пилный диск  ARRA GERMA 125,шт,
,00-00002570,Жидкий травертин цвет светлый бержевый (местный),кг,
,00-00002571,Жидкий травертин цвет глубокый бардовый (местный),кг,
,00-00002572,Жидкий травертин цвет черный (местный),кг,
,00-00002573,Ванночка,шт,
,00-00002574,Автомат NM 630А,шт,
,00-00002575,Наканечник 150мм,шт,
,00-00002576,Наканечник 70мм,шт,
,00-00002577,Болт М8 Гайка.,кг,
,00-00002578,"Двутавр Н 16х3,7см",шт,
,00-00002579,Леса переходник,шт,
,00-00002580,Тройник из ппр 75х63,шт,
,00-00002581,Масло Energy 15-40,л,
,00-00002582,Болгарка  INGCO  2400W AG24008,шт,
,00-00002583,Лазерный уровен INGCO HLL305205,шт,
,00-00002584,Коронка алмазный для кафеля 60,шт,
,00-00002586,Кист перо,пачка,
,00-00002587,Болгарка Makute  AGO18-А,шт,
,00-00002588,Сварочный аппарат ТЭМП Ис-250,шт,
,00-00002589,Шруповерт Темп ДА-21А,шт,
,00-00002590,Кранштейн 0004 (спец тех),шт,
,00-00002591,Тавотница (спец тех),шт,
,00-00002592,Шланг подкачка (спец тех),шт,
,00-00002593,Шланг 38х43мм (спец тех),м,
,00-00002594,Хомут стальной 38мм,шт,
,00-00002595,Обратный клапан 50мм,шт,
,00-00002596,Переходник сварной  89х63,шт,
,00-00002597,Американка из ппр 76мм,шт,
,00-00002598,Шетка для болгарка,шт,
,00-00002599,Сальник 190х220х22 (спец тех у-н),шт,
,00-00002600,Серга передный рессоры Хово WG9100520034 (спец тех),шт,
,00-00002601,Втулка передней рессоры Хово WG9000520078 (спец тех),шт,
,00-00002602,Палец передней рессоры D=30 L=155 черный (спец тех),шт,
,00-00002603,Наконечник маленький (спец тех),шт,
,00-00002604,Наконечник большой (спец тех),шт,
,00-00002605,Рулевой тяга (спец тех),шт,
,00-00002606,Мембрана строительная ветрозашитная МСВ-НГ,рулон,
,00-00002607,Клапан с электроприводом 600х500 (вентиляция),шт,
,00-00002608,Газоблок  100х300х200 (хитой) Ali jiong,м3,
,00-00002609,Трансформатор 630,шт,
,00-00002610,Домик трансформатора,шт,
,00-00002611,"Каменная вата SAMWOOL (0,216м3)",м3,
,00-00002612,Кабель ВВГНГ 5х6мм2,м,
,00-00002613,Принтер  Canon image Prograf TM-255,шт,
,00-00002614,Адаптер Wifi USB TL-WM722N,шт,
,00-00002615,"Подоконник 3,60м",шт,
,00-00002616,"Подоконник 2,80м",шт,
,00-00002616,"Подоконник 1,20м",шт,
,00-00002619,Клей для газоблока (местный),кг,
,00-00002620,Труба канализационный ПВХ 50мм 2м (импорт),шт,
,00-00002621,Редуктор для воды 15мм,шт,
,00-00002622,Хомут лехкий  Металлический хомут 20-24  1/2,шт,
,00-00002623,Захват для автокрана,шт,
,00-00002624,Кабель 1х185 АПУВПУ,м,
,00-00002625,Катюшка 380,шт,
,00-00002626,Кабель 1х16 ПВС,м,
,00-00002627,Запчаст Фавар (Лакокраска станок),шт,
,00-00002628,Погрузчик Фавар (Лакокраска),шт,
,00-00002629,Ремкомплект для радиатора,шт,
,00-00002630,Сифон для раковын,шт,
,00-00002631,Ванючка для унитаз,шт,
,00-00002632,Отсекаюшие кран 15х15,шт,
,00-00002633,Радиатор Кран 20мм,шт,
,00-00002634,Накидной адаптер 25мм,шт,
,00-00002635,Накидной адаптер 20мм,шт,
,00-00002636,Удлинитель,шт,
,00-00002637,Брон болт (дробилка),шт,
,00-00002638,Сита 22,шт,
,00-00002639,Фланец кардон (спец тех),шт,
,00-00002640,Болт М21 Колёный (спец тех),шт,
,00-00002641,"Краска Nippon paint 13,5л",шт,
,00-00002643,Отвод адаптер с настеный крипление н/р 20мм (ушастик),шт,
,00-00002644,Сальник ПВХ 110мм,шт,
,00-00002645,Сальник ПВХ 50мм,шт,
,00-00002646,Мостик из ппр 40мм,шт,
,00-00002647,Мостик из ппр 50мм,шт,
,00-00002648,Труба канализационный ПВХ 100мм 50см,шт,
,00-00002649,Труба канализационный ПВХ 50мм 50см,шт,
,00-00002650,Набор Ronas для туалета,набор,
,00-00002651,Ойна,шт,
,00-00002652,Сушилка кран,шт,
,00-00002653,Рекор н/р 50х15  1/2,шт,
,00-00002654,Счетчик электроэнергии однофазный EX 18 c PLC модулем,шт,
,00-00002655,Труба металический 219х6,м,IZOPOL
,00-00002656,ППИ-П2х100 (синтефон без фолга),м2,
,00-00002657,Плинтус для ванна,шт,
,00-00002658,Стакан одноразовый,шт,
,00-00002659,Закладной лист 20х350х350,шт,
,00-00002660,Кас 5х50х100,шт,
,00-00002661,Корб 16х16,шт,
,00-00002662,"Грунтовка астар 2,5кг",шт,
,00-00002663,Компрессор 11Кв  (Китай импорт),шт,
,00-00002664,Компрессор шланг 8-12 (Китай импорт),рулон,
,00-00002665,Малярный скточ 1см (Китай импорт),каробка,
,00-00002666,Малярный скточ 2см (Китай импорт),каробка,
,00-00002667,Масло 85-140 Gazprom трансмиссионный,л,
,00-00002668,Гидравлика фильтр 13742 (спец тех),шт,
,00-00002669,Эмульсия U-994,шт,
,00-00002670,Эмульсия А-25,шт,
,00-00002671,Эмульсия Нип Ализа,шт,
,00-00002672,Газоблок  600х300х100 (хитой),м3,
,00-00002673,Аристон 100л,шт,
,00-00002674,Чашаген + бачок,шт,
,00-00002675,Смеситель  крипления,шт,
,00-00002676,Котёл КСКВ-50,шт,
,00-00002677,Гайковерт INGCO,шт,
,00-00002678,Счетчик Т73,шт,
,00-00002679,"Труба канализационая 100мм 0,5м",шт,
,00-00002680,Труба канализационая 100мм 1м,шт,
,00-00002681,Скорост трос 340 ( спец тех ),шт,
,00-00002682,Скорост трос ( спец тех ),шт,
,00-00002683,Апарат подкачка  ( спец тех ),шт,
,00-00002685,Галоген 12W Потолочный,шт,
,00-00002686,Обдаста,шт,
,00-00002687,Эко плекс 5мм,шт,
,00-00002688,Труба канализационая 125мм 3м,шт,
,00-00002689,Труба канализационая 125мм 1м,шт,
,00-00002690,Коник 20,шт,
,00-00002691,Клинец,м3,
,00-00002692,Топливной фильтр ST302  (спец тех),шт,
,00-00002693,Масленный фильтр 9009 (спец тех у-н),шт,
,00-00002694,Пчёлка Makute 125мм CCS125-BL батарейкали,шт,
,00-00002695,Вибратор Epa  EBV-2200-1 6метр,шт,
,00-00002696,"Вибратор Epa  EBV-1100-1 1,5метр",шт,
,00-00002697,Лед лампочка 30w,шт,
,00-00002698,Трансформатор тока 800-5 Т/Т,шт,
,00-00002699,Отвод ПВХ 50мм,шт,
,00-00002702,Гипсокартон потолочный влага,шт,
,00-00002703,"Рамная стойка 1,5х1,8 D60х3,0мм (Опалубка)",шт,
,00-00002704,"Крестовина х-образный (2,0м). D33,5х1,9мм  (Опалубка)",шт,
,00-00002705,"Унивилька резбовая универсальная 1000/1200 мм. D48х4,0мм",шт,
,00-00002706,Кнауф Фуген 25кг,тн,
,00-00002707,Кнауф Стеклохолс,шт,
,00-00002708,Коронка по металу 20,шт,
,00-00002709,Труба из ППР PN-20 ГВС диам 32,м,
,00-00002710,Труба из ППР PN-20 ГВС диам 40,м,
,00-00002711,"Вязальный провод оцинкованный 0,7мм",кг,
,00-00002712,Коронка алмазный для кафеля 16,шт,
,00-00002713,"Лоток 0,7",пм,
,00-00002714,Подшивник 113526Н (спец тех ),шт,
,00-00002715,Эмульсия BETEK,шт,
,00-00002716,Валик чуп,шт,
,00-00002717,ПВА клей,шт,
,00-00002718,Насос THBD,шт,
,00-00002719,Рекор в/р 40,шт,
,00-00002720,Рекор н/р 40,шт,
,00-00002721,Рекор в/р 25,шт,
,00-00002722,Адаптер 32мм н/р,шт,
,00-00002723,Насос Shimge XPS25-6-180B,шт,
,00-00002724,"Насос Shimge PS-01 1,5Кв",шт,
,00-00002725,Автомат Shimge,шт,
,00-00002726,Лента алюмин 100 В1 (импорт хитой),шт,
,00-00002727,Лента алюмин лайт 100 ВН2 (импорт хитой) 1шт 24м,шт,
,00-00002728,Жилка 50м (импорт хитой),шт,
,00-00002729,"Прокат листовой горячеоцинкованный лист тольшина 0,40*1250мм",тонна,
,00-00002730,Болт Гайка м14 (спец тех),кг,
,00-00002731,Финсин м10,шт,
,00-00002732,Муфта оцинкованный 50мм,шт,
,00-00002733,Муфта металический 76мм,шт,
,00-00002734,Прорачный шланг спиральная 60мм,м,
,00-00002735,Хомут металлический 60-63мм зажим,шт,
,00-00002736,Хомут М10,шт,
,00-00002737,Насос Pollwon PW158-5AM,шт,
,00-00002738,Переходник из ппр 63х32,шт,
,00-00002739,Адаптер 32мм в/р,шт,
,00-00002740,Обратный клапан металл 25мм,шт,
